WARDS,War_Code,Cattle_2014,Sheep_2014,Pigs_2014,Poultry_2014,Cattle_2013,Sheep_2013,Pigs_2013,Poultry_2013,Cattle_2012,Sheep_2012,Pigs_2012,Poultry_2012,Cattle_2011,Sheep_2011,Pigs_2011,Poultry_2011,Cattle_2010,Sheep_2010,Pigs_2010,Poultry_2010,Cattle_2009,Sheep_2009,Pigs_2009,Poultry_2009,Cattle_2008,Sheep_2008,Pigs_2008,Poultry_2008,Cattle_2007,Sheep_2007,Pigs_2007,Poultry_2007,Cattle_2006,Sheep_2006,Pigs_2006,Poultry_2006,Cattle_2005,Sheep_2005,Pigs_2005,Poultry_2005,Cattle_2004,Sheep_2004,Pigs_2004,Poultry_2004,Cattle_2003,Sheep_2003,Pigs_2003,Poultry_2003,Cattle_2002,Sheep_2002,Pigs_2002,Poultry_2002,Cattle_2001,Sheep_2001,Pigs_2001,Poultry_2001,Cattle_2000,Sheep_2000,Pigs_2000,Poultry_2000,Cattle_1999,Sheep_1999,Pigs_1999,Poultry_1999
ERNE,95PP11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,654,39,3,0,721,39,3,0,728,0,0,0,749,0,0,0,792,37,0,0,804,71,0,24,830,31,0,102,699,31,190,0,696,17,200,0,744,0,0,0,829,0,0,0
FAIR GREEN,95DD13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAIRHILL,95EE07,351,193,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,206,347,0,0,179,122,0,10,208,251,0,10,207,388,0,30,190,334,0,12,282,0,0,0,0,0,0,0
FAIRY WATER,95YY10,13526,12007,5941,26900,13281,10996,5703,26900,12785,11369,5850,27900,12979,10503,5238,33509,12891,9277,5237,24660,13891,9311,5617,5980,13760,9877,5915,5700,8842,12156,0,46280,8438,12194,0,38857,12913,9645,5582,109099,13047,10510,4682,115109,13091,10611,4997,112090,13783,11421,7796,131655,13809,13932,6914,131582,13533,16107,7860,115002,14198,17497,6835,113191
FALLS,95GG21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FALLS PARK,95GG22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARRANSHANE,95AA08,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FATHOM,95VV16,2382,2315,0,0,2392,2348,0,0,2467,2645,0,0,2183,2667,1,0,2332,2318,3,0,2563,2813,3,0,2697,2770,201,0,4042,2166,3158,51800,4357,2386,4457,43531,3327,3450,0,32,3260,3682,0,20,3097,3894,0,28,3195,2066,0,45,2348,1373,51,27,3295,8707,0,0,3319,8986,0,0
FEENY,95RR06,2940,18942,1,0,2926,17878,1,0,3130,19935,6,3000,3125,18047,17,2745,3021,17306,3,3000,3180,18223,0,2950,3102,19941,0,11210,4425,18053,745,60000,4621,20297,728,72050,3041,23092,0,12148,3150,24797,0,165,3316,24448,0,183,3216,23622,0,216,3868,27175,0,270,3403,23255,0,0,3772,28307,0,0
FINAGHY,95GG23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
